Exoplanet,ESI,Distance,Mass (Compared to Jupiter),Eccentricity,Incline Angle(deg),Orbital Period (days),Discovery Method,Magnitude,Radius compared to Jupiter,Column 1,Longitude,Latitude,Explore
Teegarden's Star b,0.97,12.5,0.003,0,89.8,4.91,Radial Velocity,15.1,0.109,1.09,213.46,59.42,1
TRAPPIST-1 d,0.94,39.6,0.021,0,89.7,4.05,Transit,14.7,0.153,1.53,272.16,-62.17,1
Kepler-1649 c,0.93,301,0.022,0,89.7,19.5,Transit,14.3,0.132,1.32,63.45,12.63,1
TRAPPIST-1 e,0.91,39.6,0.021,0,89.7,6.1,Transit,14.2,0.116,1.16,272.16,-62.17,1
TOI-700 e,0.91,101.4,0.026,0.08,89.7,27.8,Transit,15,0.113,1.13,218.03,-62.56,1
K2-18 b,0.89,124,0.024,0.02,88.7,33,Transit,13.9,0.127,1.27,7.37,34.54,0
Proxima Cen b,0.86,4.2,0.002,0,89.9,11.2,Radial Velocity,11.1,0.085,0.85,311.88,-0.23,1
Ross 128 b,0.86,11,0.004,0,89.9,9.9,Radial Velocity,12.8,0.125,1.25,4.99,-0.16,0
GJ 1061 c,0.86,12,0.005,0.05,89.3,6.7,Radial Velocity,14.6,0.161,1.61,336.15,-48.48,0
GJ 1061 d,0.86,12,0.005,0.05,89.3,13,Radial Velocity,12.9,0.131,1.31,336.15,-48.48,0
GJ 1002 b,0.86,16.1,0.003,0,89.5,10.3,Radial Velocity,15.1,0.16,1.6,347.59,-12.11,0
GJ 273 b,0.85,12.3,0.003,0.1,88.5,18.6,Radial Velocity,16.8,0.121,1.21,226.57,5.68,0
Ross 508 b,0.85,36.5,0.013,0.05,89,10.8,Radial Velocity,16.8,0.158,1.58,71.74,12.69,0
TRAPPIST-1 f,0.85,39.6,0.021,0,89.7,9.2,Transit,15.6,0.157,1.57,272.16,-62.17,0
Kepler-1701 b,0.84,1487,0.016,0.05,89.3,185.6,Transit,14.4,0.151,1.51,48.92,13.33,0
Kepler-296 f,0.83,1261,0.016,0.03,89.4,63.3,Transit,14.8,0.129,1.29,41.03,13.39,0
Kepler-1652 b,0.83,988,0.013,0.03,89,21.9,Transit,13.8,0.141,1.41,49.17,12.45,0
Kepler-186 f,0.83,492,0.018,0.01,89.5,129.9,Transit,14.2,0.157,1.57,74.92,10.58,0
Kepler-1653 b,0.82,2003,0.013,0.02,89.1,328.7,Transit,14.2,0.118,1.18,50.73,13.04,0
TOI-715 b,0.81,167.2,0.016,0.03,88.9,15.5,Transit,16.7,0.126,1.26,277.38,-35.83,0
TOI-2257 b,0.81,188,0.01,0.02,88.7,35.2,Transit,17.2,0.15,1.5,91.03,12.66,0
Wolf 1061 c,0.8,14,0.011,0.06,89.7,17.9,Radial Velocity,13.7,0.138,1.38,346.56,-70.43,0
